Average User Rating,User Rating Count,Price,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
3.5,92.0,2.99,1.0,37567488.0,3223.0,0,0,12,0.0,0.0,0.0,1.0,0
3.5,324.0,0.0,3.0,13945969.0,673.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,1736.0,0.0,6.0,80186242.0,0.0,0,0,9,0.0,0.0,1.0,0.0,0
2.5,1377.0,0.0,1.0,7988224.0,2142.0,0,0,4,1.0,0.0,0.0,0.0,0
2.0,6.0,0.99,2.0,13468672.0,2519.0,0,0,4,0.0,0.0,0.0,1.0,0
3.5,96.0,0.0,1.0,52686848.0,217.0,0,0,4,0.0,1.0,0.0,0.0,1
3.5,1739.0,0.0,4.0,14912432.0,383.0,0,0,9,0.0,1.0,0.0,0.0,0
4.0,1009.0,0.0,2.0,123698176.0,3307.0,0,0,4,0.0,0.0,0.0,1.0,1
2.0,602.0,0.0,6.0,215840.0,401.0,0,0,4,1.0,0.0,0.0,0.0,0
4.0,1335.0,2.99,1.0,32712704.0,2966.0,0,0,4,1.0,0.0,0.0,0.0,0
3.0,86.0,0.0,2.0,13109248.0,2563.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,37350.0,0.0,1.0,14556326.0,547.0,0,0,12,0.0,0.0,0.0,0.0,0
2.0,119.0,0.0,1.0,46803968.0,3318.0,0,0,4,0.0,0.0,0.0,1.0,0
3.0,1229.0,0.0,7.0,10781853.0,45.0,0,0,12,0.0,0.0,0.0,0.0,1
3.0,1229.0,0.0,7.0,10781853.0,45.0,0,0,12,0.0,0.0,0.0,0.0,1
3.5,14.0,0.0,1.0,9549824.0,3006.0,0,0,4,0.0,0.0,0.0,1.0,0
4.0,342.0,0.0,1.0,19326976.0,2887.0,0,0,9,0.0,0.0,1.0,0.0,0
3.0,254.0,0.0,1.0,8296134.0,477.0,0,0,4,0.0,0.0,0.0,0.0,0
4.5,10311.0,0.0,8.0,50140160.0,3416.0,0,0,4,0.0,0.0,0.0,0.0,0
2.5,319.0,0.99,1.0,47455232.0,3141.0,0,0,4,0.0,1.0,0.0,0.0,0
4.0,98.0,2.99,4.0,11632640.0,1755.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,49.0,0.0,1.0,5049774.0,0.0,0,0,9,1.0,0.0,0.0,0.0,0
3.5,307.0,0.0,1.0,16819162.0,109.0,0,0,9,0.0,0.0,1.0,0.0,0
3.0,41.0,2.99,1.0,47454208.0,2414.0,0,0,12,0.0,1.0,0.0,0.0,0
3.0,11.0,0.0,1.0,19125248.0,2129.0,0,0,12,0.0,0.0,0.0,0.0,0
1.5,200.0,0.0,1.0,2651122.0,5.0,0,0,4,0.0,0.0,0.0,1.0,0
4.5,9908.0,4.99,1.0,529755136.0,2284.0,0,0,12,0.0,0.0,1.0,0.0,1
3.0,124.0,0.0,1.0,1224994.0,0.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,6381.0,0.0,1.0,6678875.0,1126.0,0,0,4,0.0,0.0,1.0,0.0,0
5.0,37.0,0.99,1.0,8821760.0,2798.0,0,0,4,1.0,0.0,0.0,0.0,0
3.5,1456.0,0.0,7.0,27736030.0,348.0,0,0,9,0.0,0.0,0.0,1.0,0
2.5,272.0,0.99,1.0,10806272.0,2833.0,0,0,4,1.0,0.0,0.0,0.0,1
3.0,157.0,1.99,1.0,12133376.0,2843.0,0,0,4,0.0,0.0,0.0,0.0,0
3.0,13433.0,0.0,1.0,29326612.0,968.0,0,0,4,1.0,0.0,0.0,0.0,1
4.5,28.0,2.99,2.0,23948288.0,3073.0,0,0,4,0.0,0.0,0.0,1.0,1
3.0,17.0,0.0,2.0,2708572.0,270.0,0,0,4,0.0,0.0,0.0,1.0,0
2.5,11.0,1.99,1.0,18437120.0,3310.0,0,0,4,0.0,0.0,0.0,0.0,0
4.5,8.0,0.0,4.0,13504512.0,2602.0,0,0,4,1.0,0.0,0.0,0.0,0
