ID,Average User Rating,User Rating Count,Price,Developer,Languages,Size,Update_Gap,Name,Subtitle,age_rating,Puzzle,Simulation,Action,Board,In-app Purchases
1206328878,4.5,3576.0,0.0,8,1.0,2194545664.0,623.0,0,0,12,0.0,0.0,0.0,0.0,1
1244601916,4.5,2792.0,0.0,11,1.0,94497792.0,596.0,0,0,4,0.0,0.0,0.0,0.0,1
1247696142,5.0,10.0,0.0,1,1.0,118484992.0,6.0,0,0,4,1.0,0.0,0.0,0.0,0
330511928,4.0,148144.0,0.0,2,1.0,12429966.0,659.0,0,0,12,0.0,0.0,0.0,0.0,0
541977978,3.5,66.0,0.0,1,1.0,28628906.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
415606677,3.5,263.0,0.0,15,1.0,16331458.0,322.0,0,0,4,0.0,1.0,0.0,0.0,1
883951727,4.5,173.0,3.99,36,2.0,524193792.0,27.0,0,0,4,0.0,0.0,0.0,0.0,0
1090538458,5.0,8.0,0.0,3,1.0,133576704.0,27.0,0,0,4,0.0,0.0,0.0,0.0,1
522237004,3.5,29.0,0.0,6,3.0,31981568.0,2094.0,0,0,4,0.0,0.0,0.0,1.0,1
471458190,4.5,1889.0,4.99,5,1.0,83991552.0,2182.0,0,0,4,0.0,0.0,0.0,1.0,1
1258137706,5.0,5.0,0.0,2,1.0,105339904.0,116.0,0,0,4,1.0,0.0,0.0,0.0,1
435373843,4.0,79.0,0.0,36,4.0,56763252.0,0.0,0,0,9,0.0,0.0,0.0,1.0,0
1375526128,2.0,25.0,0.0,13,5.0,627862528.0,21.0,0,0,4,0.0,0.0,0.0,1.0,0
1418499592,4.5,71.0,0.0,3,1.0,259811328.0,235.0,0,0,9,0.0,1.0,0.0,0.0,1
1239253748,5.0,8.0,0.0,1,1.0,27868160.0,0.0,0,0,12,0.0,1.0,0.0,0.0,0
1009151609,5.0,10.0,0.0,1,1.0,39817216.0,1455.0,0,0,4,0.0,0.0,0.0,0.0,1
1063882966,2.5,6.0,0.0,1,1.0,7570432.0,0.0,0,0,17,0.0,1.0,0.0,0.0,1
405705981,4.5,3330.0,0.99,12,1.0,44702166.0,611.0,0,0,9,0.0,0.0,1.0,0.0,1
665699654,4.5,10.0,0.0,3,1.0,91874304.0,1813.0,0,0,4,0.0,0.0,0.0,1.0,0
906235799,3.5,14.0,0.0,1,16.0,16924672.0,0.0,0,0,17,0.0,0.0,1.0,0.0,0
475866998,5.0,8.0,0.0,1,1.0,21793225.0,223.0,0,0,9,0.0,0.0,1.0,0.0,0
1470639614,5.0,22.0,2.99,5,1.0,4917248.0,0.0,0,0,9,1.0,0.0,0.0,0.0,0
1088248852,3.5,16.0,0.0,1,6.0,82304000.0,32.0,0,0,4,0.0,1.0,0.0,0.0,1
1346572457,4.0,126.0,0.0,1,1.0,377682944.0,193.0,0,0,4,0.0,0.0,0.0,0.0,1
1195158916,4.0,5.0,1.99,1,1.0,21204992.0,70.0,0,0,9,1.0,0.0,0.0,0.0,0
640255855,4.0,35.0,8.99,1,1.0,170409984.0,1516.0,0,0,4,1.0,0.0,0.0,0.0,1
918293835,5.0,8.0,0.0,1,1.0,83041280.0,283.0,0,0,4,0.0,0.0,0.0,1.0,0
922927553,3.5,47.0,0.0,1,5.0,201122816.0,434.0,0,0,9,0.0,0.0,0.0,0.0,1
379485289,2.5,55.0,0.0,1,1.0,925334.0,92.0,0,0,4,0.0,0.0,0.0,1.0,0
1221206391,4.0,10.0,0.0,4,3.0,82122752.0,799.0,0,0,4,1.0,0.0,0.0,0.0,0
1280535470,4.5,7.0,0.0,5,2.0,104445952.0,249.0,0,0,9,0.0,0.0,0.0,0.0,1
368167255,1.5,7.0,0.99,1,1.0,6987776.0,2368.0,0,0,9,1.0,0.0,0.0,0.0,0
1442177267,4.0,185.0,0.0,1,1.0,109430784.0,139.0,0,0,4,0.0,1.0,0.0,0.0,1
1206221293,5.0,50.0,0.0,18,1.0,81925120.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
1142926887,4.5,648.0,0.0,4,8.0,1866854400.0,0.0,0,0,12,0.0,0.0,0.0,0.0,1
914412031,5.0,14.0,0.0,21,1.0,13103104.0,0.0,0,0,4,0.0,0.0,0.0,0.0,1
1235569398,5.0,88542.0,0.0,2,12.0,180564992.0,788.0,0,0,17,0.0,0.0,0.0,0.0,1
1321816752,4.5,25.0,0.0,1,1.0,149910528.0,151.0,0,1,12,0.0,0.0,1.0,0.0,1
1450255214,3.5,446.0,0.0,1,1.0,130210816.0,135.0,0,1,12,0.0,0.0,0.0,0.0,1
1449534181,4.5,169.0,0.0,18,8.0,92104704.0,132.0,0,1,9,0.0,0.0,0.0,0.0,1
1425803924,4.5,89.0,0.0,1,15.0,29570048.0,229.0,1,1,4,0.0,0.0,0.0,0.0,0
1374894407,3.5,7.0,4.99,2,1.0,501229568.0,249.0,0,0,4,0.0,0.0,0.0,0.0,0
884428092,5.0,30.0,0.0,11,1.0,15422464.0,1195.0,0,0,4,0.0,0.0,0.0,1.0,1
834420714,4.0,67.0,0.0,4,1.0,106232832.0,591.0,0,0,4,0.0,1.0,0.0,0.0,1
1410042218,4.5,52.0,0.0,1,1.0,314607616.0,273.0,0,0,4,0.0,0.0,0.0,0.0,1
