,Average User Rating,User Rating Count,Price,In-app Purchases,Languages,Size,Update_Gap,Name,Subtitle,age_rating,GenreList,Puzzle,Simulation,Action,Board
122,4,163,1.99,0.99,3,83070976,3558 days 00:00:00.000000000,0,0,4,  Puzzle    Education,1,0,0,0
123,3.5,212763,0.99,,1,9466880,3406 days 00:00:00.000000000,0,0,9,    Action,0,0,1,0
124,3,24,0,,1,4474837,33 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
125,3.5,166,0,,4,10318615,831 days 00:00:00.000000000,0,0,4,    Education  Casual,0,0,0,0
126,3.5,35905,0.99,"0.99, 5.99, 2.99",1,13216994,1178 days 00:00:00.000000000,0,0,12,  Role Playing  ,0,0,0,0
127,2.5,268,0.99,,1,5334016,2825 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
128,3,942,0,2.99,3,18093056,3093 days 00:00:00.000000000,0,0,4,    Card  ,0,0,0,0
129,3.5,3135,0,,1,9205022,361 days 00:00:00.000000000,0,0,9,    Action  ,0,0,1,0
130,4,1435,2.99,,5,22335488,2115 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
131,3,680,0,,3,4481024,1741 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
132,3.5,3015,0,1.99,1,10139648,2952 days 00:00:00.000000000,0,0,4,Finance  Simulation    ,0,1,0,0
133,4.5,688,0,"2.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99, 1.99",1,70557696,2884 days 00:00:00.000000000,0,0,4,  Travel    Word,0,0,0,0
134,4,113,0.99,,1,48675840,2832 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
135,2,291,0.99,,1,9900032,2503 days 00:00:00.000000000,0,0,17,      Board,0,0,0,1
136,4.5,62,0,"19.99, 4.99, 9.99, 49.99, 99.99",1,22518784,2241 days 00:00:00.000000000,0,0,12,  Adventure  ,0,0,0,0
137,3.5,1054,0,,1,5085584,133 days 00:00:00.000000000,0,0,12,      Casino,0,0,0,0
138,3.5,9,0,"0.99, 0.99, 0.99",1,16440320,2349 days 00:00:00.000000000,0,0,4,  Puzzle    ,1,0,0,0
139,3,657,0,0.99,5,25035776,2504 days 00:00:00.000000000,0,0,4,    Simulation  ,0,1,0,0
140,3,47338,0.99,,1,9214976,2892 days 00:00:00.000000000,0,0,4,  Family  ,0,0,0,0
141,3.5,1979,0.99,,1,9659320,420 days 00:00:00.000000000,0,0,4,    Simulation  ,0,1,0,0
142,2.5,654,0.99,,1,13483008,3284 days 00:00:00.000000000,0,0,4,      Casual,0,0,0,0
143,4,213,9.99,,2,22864896,3287 days 00:00:00.000000000,0,1,4,  Board  Education  ,0,0,0,1
144,3,15277,0,0.99,1,8482816,2027 days 00:00:00.000000000,0,0,4,  Simulation    ,0,1,0,0
145,3.5,776,0,,3,64505856,3505 days 00:00:00.000000000,0,0,4,  Education  Puzzle  ,1,0,0,0
146,3.5,5378,0,0.99,1,15120306,1208 days 00:00:00.000000000,0,0,12,      Action,0,0,1,0
147,4,2567,4.99,"4.99, 2.99, 2.99",1,21422080,3059 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
148,2.5,29,0,,1,35214336,2737 days 00:00:00.000000000,0,0,4,      Action,0,0,1,0
149,3.5,199585,0,,48,145777664,3609 days 00:00:00.000000000,0,1,17,Sports    Sports  ,0,0,0,0
150,4.5,143719,0,"99.99, 6.99, 14.99, 29.99, 49.99, 4.99",66,109671424,3555 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
151,3,4289,0,,1,24214528,2894 days 00:00:00.000000000,0,1,4,      Casual,0,0,0,0
152,3,178,0,,1,11965728,601 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
153,3,694,0,,1,7587880,905 days 00:00:00.000000000,0,0,12,  Casual    ,0,0,0,0
154,5,6,0.99,,5,19798016,2378 days 00:00:00.000000000,0,0,4,  Education  ,0,0,0,0
155,3,46861,0.99,,1,8752128,2856 days 00:00:00.000000000,0,0,4,    Family,0,0,0,0
156,3.5,1639,0.99,,1,35438592,2307 days 00:00:00.000000000,0,0,4,    Family,0,0,0,0
157,4,148144,0,,1,12429966,659 days 00:00:00.000000000,0,0,12,  Adventure  ,0,0,0,0
158,4,7950,2.99,,1,8432232,1153 days 00:00:00.000000000,0,0,4,    Casual,0,0,0,0
159,3.5,517,0,,1,22585344,1641 days 00:00:00.000000000,0,0,4,    Board,0,0,0,1
160,3.5,4049,0.99,"0.99, 0.99",8,49016832,2241 days 00:00:00.000000000,0,0,4,  Board  Business  ,0,0,0,1
161,3,345,0,"0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99, 0.99",1,5614592,3121 days 00:00:00.000000000,0,1,4,  Board    ,0,0,0,1
162,3.5,7499,0,,1,1978912,290 days 00:00:00.000000000,0,0,4,  ,0,0,0,0
163,1.5,18,0,,1,75976704,3296 days 00:00:00.000000000,0,0,4,  Card    ,0,0,0,0
164,3,38008,0.99,,1,7494656,2842 days 00:00:00.000000000,0,0,4,  Family  ,0,0,0,0
165,3.5,3650,0,,1,16141677,159 days 00:00:00.000000000,0,0,4,    Action,0,0,1,0
166,2.5,1604,0,,1,7075285,430 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
167,3,17680,0,,8,52412416,2418 days 00:00:00.000000000,0,0,4,      Board,0,0,0,1
168,3.5,7,0,,1,9431040,3293 days 00:00:00.000000000,0,0,4,    Board  ,0,0,0,1
169,3,166,0,,1,16702740,307 days 00:00:00.000000000,0,0,9,    Card  ,0,0,0,0
170,2,868,0,,1,15370240,2368 days 00:00:00.000000000,0,0,12,      Casual,0,0,0,0
171,3.5,10785,0,1.99,5,52757132,1058 days 00:00:00.000000000,0,0,12,  Action    ,0,0,1,0
172,4,17440,4.99,"4.99, 9.99, 4.99, 1.99, 1.99",6,888494080,3365 days 00:00:00.000000000,0,0,4,  Board    ,0,0,0,1
173,2.5,234,0,,1,1098368,29 days 00:00:00.000000000,0,0,4,  Puzzle  ,1,0,0,0
174,4,95466,0,"1.99, 1.99, 1.99, 2.99, 1.99, 1.99, 1.99, 1.99, 1.99, 5.99",2,58547200,3053 days 00:00:00.000000000,0,0,9,  Puzzle  ,1,0,0,0
175,2.5,295,0,,1,5336201,0 days 00:00:00.000000000,0,0,9,      Role Playing,0,0,0,0
176,4,178,0.99,,1,9961472,1914 days 00:00:00.000000000,0,0,4,    Role Playing,0,0,0,0
177,5,960,9.99,,1,364954624,2803 days 00:00:00.000000000,0,1,12,      Role Playing,0,0,0,0
178,3,3284,0,0.99,1,34713600,1402 days 00:00:00.000000000,0,0,4,  Puzzle  ,1,0,0,0
179,4,63,2.99,,17,27623424,2749 days 00:00:00.000000000,0,0,4,    Puzzle,1,0,0,0
180,2,849,0,,1,16375808,2346 days 00:00:00.000000000,0,0,17,  Action    ,0,0,1,0
181,3.5,532,0,,1,30134272,2264 days 00:00:00.000000000,0,0,4,    Family,0,0,0,0
182,3,746,0,,2,12349649,495 days 00:00:00.000000000,0,0,9,    Board,0,0,0,1
183,4,3910,0,,5,22872064,1966 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
184,4,118,0,,2,11697152,3041 days 00:00:00.000000000,0,0,4,    Puzzle  ,1,0,0,0
185,4,486,0,"4.99, 2.99, 34.99, 2.99, 0.99, 0.99, 1.99, 24.99, 1.99, 2.99",1,283385856,3534 days 00:00:00.000000000,0,0,12,  Family  Travel  ,0,0,0,0
186,3.5,884,0,0.99,1,1250034,0 days 00:00:00.000000000,0,0,9,      Puzzle,1,0,0,0
187,3,80790,0,,1,36204544,1450 days 00:00:00.000000000,0,0,4,    Navigation  Role Playing,0,0,0,0
188,3,1419,0.99,,1,29578240,2210 days 00:00:00.000000000,0,0,4,      Puzzle,1,0,0,0
